python3 train.py
Ordinary Least Squares Calculated thetas: theta_0 (intercept) = 8499.599649933216, theta_1 (slope) = -0.021448963591702303
Iteration 203: slope = -0.03453074992171256, intercept_y = 0.566582726371435, y_pred = 0.01
Iteration 204: slope = -0.035455885059728375, intercept_y = 0.5670526920002911, y_pred = 0.01
Iteration 205: slope = -0.03638094227613988, intercept_y = 0.5675199206384317, y_pred = 0.01
Iteration 206: slope = -0.03730590254296688, intercept_y = 0.5679844666049171, y_pred = 0.01
Iteration 207: slope = -0.03823074728535042, intercept_y = 0.5684463829920665, y_pred = 0.01
Iteration 208: slope = -0.03915545837123369, intercept_y = 0.5689057216933325, y_pred = 0.01
Iteration 209: slope = -0.04008001810127746, intercept_y = 0.5693625334305408, y_pred = 0.01
Iteration 210: slope = -0.04100440919900476, intercept_y = 0.5698168677805117, y_pred = 0.01
Iteration 211: slope = -0.04192861480116956, intercept_y = 0.5702687732010759, y_pred = 0.01
Iteration 212: slope = -0.04285261844834432, intercept_y = 0.5707182970564999, y_pred = 0.01
Iteration 213: slope = -0.04377640407572163, intercept_y = 0.5711654856423323, y_pred = 0.01
Iteration 214: slope = -0.04469995600412475, intercept_y = 0.5716103842096864, y_pred = 0.01
Iteration 215: slope = -0.04562325893122264, intercept_y = 0.5720530369889704, y_pred = 0.01
Iteration 216: slope = -0.04654629792294458, intercept_y = 0.5724934872130787, y_pred = 0.01
Iteration 217: slope = -0.04746905840508999, intercept_y = 0.5729317771400556, y_pred = 0.01
Iteration 218: slope = -0.04839152615512892, intercept_y = 0.5733679480752443, y_pred = 0.01
Iteration 219: slope = -0.049313687294188974, intercept_y = 0.5738020403929321, y_pred = 0.01
Iteration 220: slope = -0.050235528279224326, intercept_y = 0.5742340935575043, y_pred = 0.01
Iteration 221: slope = -0.05115703589536278, intercept_y = 0.5746641461441165, y_pred = 0.01
Iteration 222: slope = -0.05207819724842676, intercept_y = 0.5750922358588978, y_pred = 0.01
Iteration 223: slope = -0.0529989997576243, intercept_y = 0.5755183995586942, y_pred = 0.01
Iteration 224: slope = -0.05391943114840622, intercept_y = 0.575942673270364, y_pred = 0.01
Iteration 225: slope = -0.054839479445485596, intercept_y = 0.5763650922096338, y_pred = 0.01
Iteration 226: slope = -0.05575913296601597, intercept_y = 0.5767856907995268, y_pred = 0.01
Iteration 227: slope = -0.05667838031292458, intercept_y = 0.5772045026883714, y_pred = 0.01
Iteration 228: slope = -0.05759721036839718, intercept_y = 0.5776215607674016, y_pred = 0.01
Iteration 229: slope = -0.05851561228751087, intercept_y = 0.5780368971879559, y_pred = 0.01
Iteration 230: slope = -0.059433575492011795, intercept_y = 0.5784505433782869, y_pred = 0.01
Iteration 231: slope = -0.06035108966423415, intercept_y = 0.5788625300599879, y_pred = 0.01
Iteration 232: slope = -0.061268144741157514, intercept_y = 0.579272887264046, y_pred = 0.01
Iteration 233: slope = -0.0621847309085992, intercept_y = 0.5796816443465312, y_pred = 0.01
Iteration 234: slope = -0.06310083859553868, intercept_y = 0.5800888300039283, y_pred = 0.01
Iteration 235: slope = -0.06401645846857096, intercept_y = 0.5804944722881203, y_pred = 0.01
Iteration 236: slope = -0.06493158142648613, intercept_y = 0.5808985986210318, y_pred = 0.01
Iteration 237: slope = -0.06584619859497201, intercept_y = 0.5813012358089387, y_pred = 0.01
Iteration 238: slope = -0.06676030132143737, intercept_y = 0.5817024100564538, y_pred = 0.01
Iteration 239: slope = -0.06767388116995265, intercept_y = 0.5821021469801938, y_pred = 0.01
Iteration 240: slope = -0.06858692991630584, intercept_y = 0.5825004716221354, y_pred = 0.01
Iteration 241: slope = -0.06949943954317064, intercept_y = 0.5828974084626687, y_pred = 0.01
Iteration 242: slope = -0.07041140223538458, intercept_y = 0.5832929814333535, y_pred = 0.01
Iteration 243: slope = -0.07132281037533433, intercept_y = 0.5836872139293857, y_pred = 0.01
Iteration 244: slope = -0.07223365653844603, intercept_y = 0.5840801288217802, y_pred = 0.01
Iteration 245: slope = -0.0731439334887781, intercept_y = 0.584471748469277, y_pred = 0.01
Iteration 246: slope = -0.0740536341747142, intercept_y = 0.5848620947299771, y_pred = 0.01
Iteration 247: slope = -0.07496275172475418, intercept_y = 0.5852511889727133, y_pred = 0.01
Iteration 248: slope = -0.07587127944340062, intercept_y = 0.5856390520881632, y_pred = 0.01
Iteration 249: slope = -0.07677921080713897, intercept_y = 0.586025704499709, y_pred = 0.01
Iteration 250: slope = -0.07768653946050899, intercept_y = 0.5864111661740511, y_pred = 0.01
Iteration 251: slope = -0.07859325921226559, intercept_y = 0.5867954566315798, y_pred = 0.01
Iteration 252: slope = -0.07949936403162684, intercept_y = 0.5871785949565123, y_pred = 0.01
Iteration 253: slope = -0.08040484804460739, intercept_y = 0.5875605998067979, y_pred = 0.01
Iteration 254: slope = -0.08130970553043511, intercept_y = 0.5879414894237993, y_pred = 0.01
Iteration 255: slope = -0.08221393091804936, intercept_y = 0.5883212816417536, y_pred = 0.01
Iteration 256: slope = -0.08311751878267873, intercept_y = 0.5886999938970175, y_pred = 0.01
Iteration 257: slope = -0.08402046384249659, intercept_y = 0.5890776432371039, y_pred = 0.01
Iteration 258: slope = -0.08492276095535278, intercept_y = 0.5894542463295109, y_pred = 0.01
Iteration 259: slope = -0.0858244051155795, intercept_y = 0.5898298194703528, y_pred = 0.01
Iteration 260: slope = -0.08672539145086981, intercept_y = 0.5902043785927926, y_pred = 0.01
Iteration 261: slope = -0.08762571521922723, intercept_y = 0.5905779392752845, y_pred = 0.01
Iteration 262: slope = -0.08852537180598445, intercept_y = 0.5909505167496278, y_pred = 0.01
Iteration 263: slope = -0.08942435672089011, intercept_y = 0.591322125908839, y_pred = 0.01
Iteration 264: slope = -0.09032266559526156, intercept_y = 0.5916927813148438, y_pred = 0.01
Iteration 265: slope = -0.09122029417920248, intercept_y = 0.5920624972059952, y_pred = 0.01
Iteration 266: slope = -0.09211723833888376, intercept_y = 0.5924312875044203, y_pred = 0.01
Iteration 267: slope = -0.09301349405388612, intercept_y = 0.5927991658231999, y_pred = 0.01
Iteration 268: slope = -0.09390905741460323, intercept_y = 0.5931661454733856, y_pred = 0.01
Iteration 269: slope = -0.09480392461970384, intercept_y = 0.5935322394708571, y_pred = 0.01
Iteration 270: slope = -0.0956980919736516, intercept_y = 0.5938974605430231, y_pred = 0.01
Iteration 271: slope = -0.09659155588428128, intercept_y = 0.5942618211353708, y_pred = 0.01
Iteration 272: slope = -0.09748431286043009, intercept_y = 0.5946253334178664, y_pred = 0.01
Iteration 273: slope = -0.09837635950962287, intercept_y = 0.5949880092912092, y_pred = 0.01
Iteration 274: slope = -0.09926769253580987, intercept_y = 0.5953498603929448, y_pred = 0.01
Iteration 275: slope = -0.10015830873715607, intercept_y = 0.5957108981034386, y_pred = 0.01
Iteration 276: slope = -0.1010482050038806, intercept_y = 0.5960711335517139, y_pred = 0.01
Iteration 277: slope = -0.10193737831614544, intercept_y = 0.5964305776211571, y_pred = 0.01
Iteration 278: slope = -0.10282582574199199, intercept_y = 0.5967892409550934, y_pred = 0.01
Iteration 279: slope = -0.10371354443532473, intercept_y = 0.5971471339622355, y_pred = 0.01
Iteration 280: slope = -0.10460053163394051, intercept_y = 0.5975042668220087, y_pred = 0.01
Iteration 281: slope = -0.10548678465760286, intercept_y = 0.5978606494897554, y_pred = 0.01
Iteration 282: slope = -0.10637230090615991, intercept_y = 0.5982162917018201, y_pred = 0.01
Iteration 283: slope = -0.10725707785770525, intercept_y = 0.5985712029805205, y_pred = 0.01
Iteration 284: slope = -0.10814111306678047, intercept_y = 0.5989253926390038, y_pred = 0.01
Iteration 285: slope = -0.10902440416261872, intercept_y = 0.5992788697859942, y_pred = 0.01
Iteration 286: slope = -0.10990694884742809, intercept_y = 0.5996316433304317, y_pred = 0.01
Iteration 287: slope = -0.11078874489471408, intercept_y = 0.5999837219860056, y_pred = 0.01
Iteration 288: slope = -0.1116697901476402, intercept_y = 0.6003351142755847, y_pred = 0.01
Iteration 289: slope = -0.11255008251742586, intercept_y = 0.600685828535548, y_pred = 0.01
Iteration 290: slope = -0.1134296199817807, intercept_y = 0.6010358729200149, y_pred = 0.01
Iteration 291: slope = -0.11430840058337446, intercept_y = 0.6013852554049817, y_pred = 0.01
Iteration 292: slope = -0.11518642242834178, intercept_y = 0.6017339837923618, y_pred = 0.01
Iteration 293: slope = -0.11606368368482081, intercept_y = 0.6020820657139357, y_pred = 0.01
Iteration 294: slope = -0.11694018258152526, intercept_y = 0.6024295086352108, y_pred = 0.01
Iteration 295: slope = -0.11781591740634875, intercept_y = 0.6027763198591928, y_pred = 0.01
Iteration 296: slope = -0.11869088650500104, intercept_y = 0.6031225065300724, y_pred = 0.01
